| 原始标签 | 名称 | 描述 | 外部链接 |
| sumire kanzaki | 神崎堇 | 花组最初成员之一，祖父神崎忠义是设计制造光武的神崎重工董事长，而堇本人则是第一个发动光武的人，由此才有了后来寻找高灵力的女孩子驾驶光武的计划。同时也是花组第一位真正的舞台巨星.<br>![图](https://img.moegirl.org/common/thumb/8/8c/Sumire.jpg/250px-Sumire.jpg) | [萌娘百科](https://zh.moegirl.org/神崎堇) |
| ci caprice | 茜·卡普利斯 | 格兰·玛的秘书之一，负责看管小卖部、舞台广播和外务对应。明朗而活泼，比梅尔更能直接表现自己真性情，好奇心旺盛，喜欢甜食。在遇到特殊事情时，会和梅尔一起作为巴黎华击团的成员为花组队员们提供战斗辅助支援，但具体所属组织不明。（二代的霞等人是风组，理论上茜他们也有可能是风组）![图](https://img.moegirl.org/common/thumb/3/35/Ci.jpg/250px-Ci.jpg) | [萌娘百科](https://zh.moegirl.org/茜·卡普利斯) |
| mell raison | 梅尔·雷森 | 格兰·玛的秘书之一，也是管理香奈儿剧场的经理，管理演出日程、舞台内外，为人认真、爱洁净、冷静和对工作十分尽责，是个有能力和可靠的秘书。在遇到特殊事情时，会和同事茜一起作为巴黎华击团的成员为花组队员们提供战斗辅助支援，但具体所属组织不明。（二代的霞等人是风组，理论上梅尔他们也有可能是风组）<br>![图](https://img.moegirl.org/common/thumb/4/4a/Mell.jpg/250px-Mell.jpg) | [萌娘百科](https://zh.moegirl.org/梅尔·雷森) |
| orihime soletta | 索蕾塔·织姬 | 原帝国华击团·星组(欧洲)成员，后加入花组。优雅的意大利红色贵族，但实际上是日意混血，由于父亲的原因对日本男人抱有强烈的偏见，后来在大神队长的帮助下，和找到自己的父亲绪方星也和解，并一起打败了趁虚而入的黑鬼会火车。之后性格变得热情开朗起来。和雷尼是好伙伴，前期给过雷尼最亲近的温暖。![图](https://img.moegirl.org/common/thumb/2/23/Orihime.jpg/250px-Orihime.jpg) | [萌娘百科](https://zh.moegirl.org/zh/索蕾塔·织姬) |
| reni milchstrasse | 雷尼·米尔西修特拉瑟 | 德国人，原帝国华击团·星组(欧洲)成员，后加入花组，是花组身世最悲惨的角色。年幼时遭遇战乱，被德国秘密组织抓走进行“Wacksturm”计划，7岁时便成为战争的道具，除了战斗以外，不会展露感情。被解救后编入星组，有了同伴兼好友索蕾塔·织姬，也渐渐地学会了舞台表演、小提琴演奏和芭蕾舞。平时总是一副男孩子打扮，常年面无表情。但在战斗中却能凭着慎密的头脑和超人的能力发挥其才能，对除此之外的任何事情都不感兴趣。其战斗力、分析能力以及战斗知识甚至与队长大神一郎不相上下，后经过某次事件，被大神队长和同伴救赎，敞开心扉，渐渐地变成了一个正常的女孩子，开始喜欢大神队长。<br>![图](https://img.moegirl.org/common/thumb/6/66/Reni.jpg/250px-Reni.jpg) | [萌娘百科](https://zh.moegirl.org/雷尼·米尔西修特拉瑟) |
| maria tachibana | 玛丽亚·橘 | 俄日混血儿。出生于俄罗斯，曾在俄国革命期间加入革命军。虽然身为女性，但具有非常优秀的射击技巧和神出鬼没的行动能力，人送绰号“食火鸟”。但在俄罗斯陷落时，在战场上未能掩护兄长一般的革命军队长，使其在敌人炮火下丧生，从而有了一段悲痛的回忆。后在纽约被藤枝菖蒲招纳，成为帝国华击团·花组成员，和桐岛神奈二人是花组之中最早的队员。在大神一郎入队之前一直担任队长，之后改任副队长。![图](https://img.moegirl.org/common/thumb/7/74/Mariatachibana.jpg/250px-Mariatachibana.jpg) | [萌娘百科](https://zh.moegirl.org/玛丽亚·橘) |
| kanna kirishima | 桐岛神奈 | 在花组成立之初就已经加入的老成员，与玛丽亚·橘的关系很好。和神崎堇虽然经常吵架 . 虽然是女性，但人高马大，肌肉发达，完全没有一丝女性的特点（除了胸和臀）![图](https://img.moegirl.org/common/thumb/2/2e/KanNa.jpg/250px-KanNa.jpg) | [萌娘百科](https://zh.moegirl.org/zh/桐岛神奈) |
| tsubaki takamura | 高村椿 | 在帝國歌劇團擔任販賣部店員工作的女孩。個性開朗活潑，具有不管和誰都能變成好朋友的體質。風組成員，戰鬥時擔任戰艦三笠號的槍炮管制。<br>![图](https://img.moegirl.org/common/thumb/7/7b/Tsubaki.jpg/250px-Tsubaki.jpg) | [萌娘百科](https://zh.moegirl.org/高村椿) |
| ayame fujieda | 藤枝菖蒲 | 官阶为陆军少尉。藤枝家当代家主，前帝国对降魔部队的队员，个性表现出超乎年龄所应有的冷静、温柔，是一位带有神秘色彩的美女，平常举止虽然娴静，但是一旦作战时，就会展现冷静而迅速的判断力与行动力。她是个“作战谨慎，行动大胆”的主义者，十分爱慕同部队的山崎真之介。后来成为帝国华击团的副司令兼任秘书，兼任花屋支部长、风组负责人，给与华击团的各位很大的帮助，时常担任大神在生活中的辅导老师。佩剑为“神剑白羽鸟”。![图](https://img.moegirl.org/common/thumb/3/3c/Ayame.jpg/250px-Ayame.jpg) | [萌娘百科](https://zh.moegirl.org/藤枝菖蒲) |
| cloud strife | 克劳德·史特莱夫 | 克劳德·史特莱夫是一位出现在Square的电子游戏《最终幻想VII》和相关续作的虚构角色，为《FFVII》本传的主角。最初设计来自《FFVII》的角色设计师野村哲也。克劳德的外表特征是金色的尖刺发型，醒目的蓝色眼睛，深色衣服和巨大的“破坏剑”，此剑是挚友扎克斯·菲尔的遗物。![维基图](https://upload.wikimedia.org/wikipedia/zh/thumb/3/33/Cloud_%28KH_Art%29.png/220px-Cloud_%28KH_Art%29.png) |  |
| kaede fujieda | 藤枝枫 | 前副司令藤枝菖蒲的妹妹，姐姐牺牲后，作为帝击副司令赴任。与和风的姐姐不同，她更中意西洋的风格，不管是房间的摆设还是平时的便装打扮都是现代风的。性格活泼，注重行动。虽然姐姐是自我牺牲挽救大局的人，但是她却是否定自我牺牲的一派。![图](https://img.moegirl.org/common/thumb/7/70/Kaede.jpg/250px-Kaede.jpg) | [萌娘百科](https://zh.moegirl.org/藤枝枫) |
| diana caprice | 黛安娜·卡普利斯 | 《樱花大战V》的登场角色。 |  |
| ratchet altair | 拉琪特·奥泰尔 | 《樱花大战V》的登场角色。 |  |
| shinjiro taiga | 大河新次郎 | 樱花大战五代的主人公，纽约华击团星组的队长，前作主人公大神一郎的姐姐大河双叶的儿子，可爱的男孩子。 |  |
| subaru kujou | 九条昴 | 《樱花大战V》的登场角色。九条家族是日本摄政家的五家之一，九条家出身的昴有着贵族的血统。同时也是原欧洲星组的成员。欧洲星组解散后他和拉琪特一起来到了纽约华击团。拥有天才般的才能，举止虽然幽雅，但却目中无人，不太愿意与别人交往，是星组带有神秘感的一位角色。不过在战斗中实力很强。 |  |
| wakana shinguji | 真宫寺若菜 | 真宮寺櫻之母 |  |
| carino soletta | 卡莉诺·素蕾塔 | 织姬索·蕾塔之母 |  |
| margueritte chateaubriand | 玛格丽特·夏特布里安 | 伊莉斯·夏特布里安之母 |  |
| yuri sakakibara | 榊原由里 | 早期经常被误写为“神原由里”或“神原尤里”。平时是帝剧的服务台小姐，一旦有状况则变成帝国华击团·风组的成员之一，负责作战支援或空中战舰三笠号的驾驶员。喜欢听小道消息，情报收集能力相当高，是剧场里小道消息来源。在帝剧三人组中作风最为前卫，在服装方面完全西洋风格，个性上好奇心强烈。<br>![图](https://img.moegirl.org/common/thumb/f/fb/Sakakibarayuri.jpg/250px-Sakakibarayuri.jpg) | [萌娘百科](https://zh.moegirl.org/榊原由里) |
| gemini sunrise | 洁蜜妮·桑莱兹 | ジェミニ・サンライズ《樱花大战V》的登场角色。 | [FANDOM](https://sakurataisen.fandom.com/wiki/Gemini_Sunrise) |
| anthy himemiya | 姬宫安茜 | 《少女革命》中的女主角二号，被称为“蔷薇新娘”的少女，凤学园代理理事长凤晓生的妹妹，中等部二年生。![图](https://bkimg.cdn.bcebos.com/pic/80cb39dbb6fd5266bc2f678ea918972bd4073627?x-bce-process=image/resize,m_lfit,w_268,limit_1/format,f_jpg) |  |
| utena tenjou | 天上欧蒂娜 | 《少女革命》女主角。自小父母双亡，在王子的鼓励下重新振作。因为太过憧憬王子，而下定决心自己也要成为王子，并穿起了男装。运动万能、正义感强，在校园中十分受女学生欢迎，被称为“欧蒂娜大人”（Utena Sama）。因为替好友筱原若叶打抱不平，而被卷入了西园寺荚一及其他决斗者争夺“蔷薇新娘”的决斗游戏中。![图](https://img.moegirl.org/common/thumb/a/a2/Tenjouutena558326c3e0687fc5f92a3b5b3cf40a55.jpg/250px-Tenjouutena558326c3e0687fc5f92a3b5b3cf40a55.jpg) | [萌娘百科](https://zh.moegirl.org/天上欧蒂娜) |
| ai hayasaka | 早坂爱 |  |  |
| kaguya shinomiya | 四宫辉夜 |  |  |
| miyuki shirogane | 白银御行 |  |  |
| chika fujiwara | 藤原千花 |  |  |
| soushi miketsukami | 御狐神双炽 |  |  |
| maya tendo | 天堂真矢 | 圣翔音乐学园99期生，演员育成科，学号18号。知名舞台演员与当红歌星的女儿，演剧界的名门出身。拥有完美的身材与高昂的声音。虽然天赋异禀，却并不会不思进取，是个以更高的高度为目标而不断努力的孤高舞台少女。<br>![Maya Tendo profile](https://img.moegirl.org.cn/common/1/10/Maya_Tendo_profile.png) | [萌娘百科](https://zh.moegirl.org/zh-hans/天堂真矢) |
| urumi ushizaki | 牛崎润美 |  |  |
| seto miyako | 濑户美夜子 |  |  |
| pecorine | 佩可莉露 | 公主连结Re:Dive初始御三家之一，阵营“美食殿堂”的创建者，口头禅是“やばいですね☆”（真是糟糕呢）<br>大胃王，兴趣是做饭吃饭，可以把一盘堆得像小山似的炒饭全部吃完并且还能继续吃其他食物。<br>由于喜欢四处旅行(事实是为了躲避霸瞳皇帝的追捕)所以很缺钱，只能在餐饮店打工，实际上还是为了能方便地吃到东西。<br>现实本名为尤丝蒂亚娜‧F‧阿斯特赖亚（ユースティアナ・フォン・アストライア），与其他人不同，佩可莉露是真正的外国王室的公主，其所属的国家曾出资援助了MIMI和《阿斯特雷亚》的研发。而她的名字“ペコリーヌ”来自登录游戏时翻译器产生的错误（可以理解为计算机里的一段文字因错误的Unicode显示为乱码）。而在现实中，也正是因为千里真那（霸瞳皇帝）夺走了公主的能力，导致部分认识佩可莉露的人会出现短暂的无法认知状态，包括她的父母，并且由于来自外国，需要随身携带翻译器，所以有时会出现语言不通无法交流的情况，并且翻译器实时运行以及战斗时能力释放需要消耗巨大的能量，故在游戏里佩可莉露经常饥饿非常能吃，在游戏里，为了避免自己被霸瞳皇帝抓到后牵连他人，在申请创建新的公会需要登记时委派骑士代为登记而不是亲自去。<br>![Pecoriinu](https://img.moegirl.org/common/1/1d/Pecoriinu.png) | [萌娘百科](https://zh.moegirl.org/公主连结Re:Dive:佩可莉露) |
| harumi fujiyoshi | 藤吉晴美 |  |  |
| chiri kitsu | 木津千里 |  |  |
| kaere kimura | 木村卡愛拉 |  |  |
| nozomu itoshiki | 糸色望 |  |  |
| veight | 斑特 |  |  |
| wicke | 碧珂 |  |  |
| astarotte ygvar | 亚斯塔萝黛·尤各瓦尔 | 134cm/25kg·B61/W52/H64·10岁·梦魔族<br>尤各瓦尔兰国的第一公主，梦魔族的后裔，昵称“萝黛（ロッテ）”，父亲在年幼时病逝，现在与母亲梅尔契丽妲分居中。<br>金色长发，以黑色缎带绑成双马尾的发型（动画版为每次装扮不同颜色的缎带），眼睛为绿色，瞳孔特征继承至母亲，在头中央上方稍稍前面的地方有一根、左右两边也各有一根呆毛，有一条长长的粉红色尾巴。<br>![RotteOmocha\_chara\_01](https://img.moegirl.org/common/9/9c/RotteOmocha_chara_01.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/亚斯塔萝黛·尤各瓦尔) |
| asuha touhara | 塔原明日叶 | 137cm/30kg•B62/W53/H67•10岁•梦魔族与人类（或梦魔族与淫魔族?）的混血儿<br>仆娘，塔原直哉与梅尔契丽妲的独生女，拥有长及前胸的黑发和青紫色的眼睛（动画版为蓝色短发及眼睛），瞳孔特征继承至梅尔，在头左右两边也各有一根呆毛。<br>性格活泼好动、不拘小节，笑口常开且直话直说，很容易和别人打成一片，是萝黛第一个同年龄的朋友。与父亲直哉定居于妖魔界后，转入王立学园就读，与萝黛同班。<br>不喜欢穿内裤，且时常不穿内裤就跑到外面去。<br>相当重视直哉，一旦有人说直哉的坏话或动粗时就会非常生气。再加上对付男性时通常会攻击男性胯下要害（齐立克上校对此就“身”有体会），因此曾对于出手打直哉的西寇德说出“要将他的家伙踢到烂”的发言。<br>![](https://i.jpg.dog/img/7f6c319c52326044f5aca699411460b9.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/塔原明日叶) |
| isadora finnsdottir | 伊莎朵拉·方斯德托 | 125cm/31kg・B63(AA)/W56/H65・17歳・暗小人族<br>西寇德的女性侍从，同时也是他的同乳母的姊妹。昵称“朵拉”。<br>个子很小，右眼上罩着眼罩。<br>性格顽固，时常被粗暴的西寇德耍得团团转。为了当好西寇德的跟班，亦为了防止他到处惹事，以女扮男装的方式入学。曾被西寇德打趣说：“你一点身材都没有，绝对不会穿帮啦！”<br>![](https://i.jpg.dog/img/feaf3d77af248a388799769377d7c8b3.jpg) |  |
| ingrid sorveig sorgrims | 伊格丽德·索维克·索尔格利吾斯 | 99cm/15kg·B52/W50/H54·7岁·兔魔族<br>第二代大贤者，继承了父亲所有的知识。<br>相当喜欢直哉，称自己为直哉的情妇，对将自己从塔内带出外界了解外面事务的直哉与明日叶相当感激。<br>明日叶因觉得“伊格丽德”这名字太长因此称呼为“伊妮（イニ，Ini）”，本人也满喜欢这昵称而使用这称呼。<br>不管坐什么交通工具都会头晕。<br>点心时间都会到萝黛邸享用点心。<br>与明日叶和萝黛的交情相当好。<br>![](https://i.jpg.dog/img/b02873f80890894d7315dd3f18b1fc3c.jpg) |  |
| yumiko miura | 三浦优美子 |  |  |
| chiyo sakura | 佐仓千代 |  |  |
| umetarou nozaki | 野崎梅太郎 |  |  |
| akari kazemiya | 风宫茜里 |  |  |
| ilya ornstein | 伊莉雅·奥恩斯坦 |  |  |
| miyako izumo | 出云宫子 | 出云宫子，原本是沉睡在地下的幽灵，被忍误当做“传说中的吸血鬼”解开封印从而醒了过来。<br>对布丁有着超乎寻常的喜爱，为了从骑士身上获得布丁总是缠着骑士不放，还会附身到别人身上，包括魔物，但由于目的太明显总是被骑士识破。<br>说话时有なの（NANO）的口癖，现实中的宫子是一个徘徊在骑士所在的高中的幽灵，变成幽灵的原因不明，且只有骑士一个人能看得到她，不停地缠着骑士要买布丁，给骑士的学习生活带来了不少麻烦。<br>![Miyako\_prin\_cone](https://img.moegirl.org/common/1/16/Miyako_prin_cone.png) | [萌娘百科](https://zh.moegirl.org/zh/出云宫子) |
| shinobu kamiki | 上喜忍 | 上喜忍，出身于灵媒世家，现在是兰德索尔的占卜师，做着驱邪的工作。<br>虽然是占卜师，然而因为自身灵力不足经常猜不准而被阵营的其他成员吐槽。<br>有一个十分好色的父亲，虽然已经变成骷髅头的样子，但因为喜欢骚扰路过的女性而常常被忍教训。因为骑士和忍走得比较近，引起了“父亲”的嫉妒，因此“父亲”对骑士抱有一定的敌意，甚至还想诅咒骑士，但最后没能成功还被忍训斥了一顿<br>![Shinobu\_prin\_cone](https://img.moegirl.org/common/b/bd/Shinobu_prin_cone.png) | [萌娘百科](https://zh.moegirl.org/上喜忍) |
| vikala | 碧卡拉 | 年龄	14<br>身高	145cm<br>声优	种﨑敦美<br>兴趣	妄想<br>喜好	戴上鼠耳的自己，奶酪<br>不擅长 拿下鼠耳的自己，世界<br>![初始](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/0/0f/Zoom_3040252000_01.png/288px-Zoom_3040252000_01.png)<br>![突破](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/1/1a/Zoom_3040252000_02.png/288px-Zoom_3040252000_02.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040252000) |
| hayate hisakawa | 久川飒 | 2018年的6th LIVE公布的7名新偶像之一，2019年3月29日发表将作为星光舞台第二弹新人偶像加入，4月2日于星光舞台正式公开。随后的4月5日，作为石川区域BOSS偶像之一在Mobamas也正式登场。<br>与同日公开的久川凪是双胞胎姐妹，凪是姐姐，而飒是妹妹。外表上最大的区别是瞳色、发型和身材，此外可能是由于化妆方式，虽然和姐姐眼型相似，看起来却是更大而有神的猫眼。<br>![久川颯](https://i.jpg.dog/img/f29fd7ed0899101ae066277f38f04599.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/久川飒) [pixiv百科](https://dic.pixiv.net/a/久川颯) [niconico大百科](https://dic.nicovideo.jp/a/久川颯) |
| nagi hisakawa | 久川凪 | 2018年的6th LIVE公布的7名新偶像之一，2019年3月29日发表将作为星光舞台第二弹新人偶像加入，4月2日于星光舞台正式公开。随后的4月5日，作为石川区域BOSS偶像之一在Mobamas也正式登场。<br>与同日公开的久川飒是双胞胎姐妹，凪是姐姐，而飒是妹妹。外表上最大的区别是瞳色、发型和身材，以及眼尾处有特别长的眼睫毛，导致虽然和妹妹眼型相似，看起来却是垂眼。此外，在说话时使用敬语。<br>![久川凪](https://i.jpg.dog/img/c863e68a0c85bf9ecc1b6a374fc53642.jpg) | [萌娘百科](https://zh.moegirl.org/久川凪) [pixiv百科](https://dic.pixiv.net/a/久川凪) [niconico大百科](https://dic.nicovideo.jp/a/久川凪) |
| shika kuroi | 黑井诗花 |  |  |
| nadeshiko kagamihara | 各务原抚子 | 各务原抚子（各務原なでしこ）是由日本漫画家あfろ所创作的漫画《摇曳露营△》及其衍生作品中的登场角色。 | [萌娘百科](https://zh.moegirl.org/各务原抚子) |
| rin shima | 志摩凛 | 志摩凛（志摩リン）是由日本漫画家あfろ所创作的漫画《摇曳露营△》及其衍生作品中的登场角色。 | [萌娘百科](https://zh.moegirl.org/志摩凛) |
| chiaki oogaki | 大垣千明 | 大垣千明（大垣千明）是由日本漫画家あfろ所创作的漫画《摇曳露营△》及其衍生作品中的登场角色。 | [萌娘百科](https://zh.moegirl.org/大垣千明) |
| aoi inuyama | 犬山葵 | 犬山葵（犬山あおい）是由日本漫画家あfろ所创作的漫画《摇曳露营△》及其衍生作品中的登场角色。 | [萌娘百科](https://zh.moegirl.org/犬山葵) |
| ena saitou | 齐藤惠那 | 齐藤惠那（斉藤恵那）是由日本漫画家あfろ所创作的漫画《摇曳露营△》及其衍生作品中的登场角色。 | [萌娘百科](https://zh.moegirl.org/齐藤惠那) |
| sugumi kanagata | 金潟すぐみ | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/金潟すぐみ/::attach/〇〇式戦闘服.jpg?rev=ca6492573e2f5ef130482c7c6cc012d3&t=20190131164542) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/金潟すぐみ) |
| yasuri araime | 新居目安里 | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/新居目安里/::attach/〇〇式戦闘服.png?rev=fb8f0c30fac7c14fd6a56cda5ee6c2e9&t=20190203024205) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/新居目安里) |
| raiya kaeruzaka | 蛙坂来弥 | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/蛙坂来弥/::attach/raiya1.png?rev=bc16b8a8ddae05958c8f4aec12cc1a07&t=20180501235114) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/蛙坂来弥) |
| rita henschel | リタ・ヘンシェル | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/リタ・ヘンシェル/::attach/パイロットスーツ.jpg?rev=278290c9db52b4215742b21b58311ea9&t=20181115154357) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/リタ・ヘンシェル) |
| serina niiya | 新谷芹菜 | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/新谷芹菜/::attach/００式戦闘服.png?rev=1f02240d54a4f0b0a3a0dec3f4a9c32e&t=20180329215836) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/新谷芹菜) |
| shirley oakley | シャーリー・オークレイ | ![〇〇式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/シャーリー・オークレイ/::attach/〇〇式戦闘服.png?rev=460015bec8b073696735c2ad04431944&t=20190323012358) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/シャーリー・オークレイ) |
| shitara kaneshiya | 兼志谷シタラ | ![八八式戦闘服](https://cdn.wikiwiki.jp/to/w/alicegear/兼志谷シタラ/::attach/八八式戦闘服.png?rev=65e320be1f32236a0b4324198479e3cb&t=20180131211309) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/兼志谷シタラ) |
| rin himukai | 日向リン | ![DM00-M](https://cdn.wikiwiki.jp/to/w/alicegear/日向リン/::attach/DM00-M.png?rev=a230241b092d55a34841202ba674a4a5&t=20180131213513) | [アリス・ギア・アイギス 攻略 Wiki](https://wikiwiki.jp/alicegear/日向リン) |
| giorno giovanna | 乔鲁诺·乔巴拿 | 漫画JOJO的奇妙冒险第五部黄金之风的主角。<br>第一部和第三部的反派BOSS迪奥·布兰度的儿子。 | [萌娘百科](https://zh.moegirl.org/乔鲁诺·乔巴拿) |
| belzerg stylish sword iris | 贝尔泽古·斯黛莉休·索德·爱丽丝 |  |  |
| hibiki tsukahara | 冢原响 |  |  |
| junichi tachibana | 橘纯一 |  |  |
| mafuyu kirisu | 桐须真冬 |  |  |
| nariyuki yuiga | 唯我成幸 |  |  |
| alice zuberg | 爱丽丝·滋贝鲁库 | 轻小说《`Sword Art Online`》及其衍生作品的登场角色。<br>![](https://img.moegirl.org/common/7/7a/Alice9.jpg) | [萌娘百科](https://zh.moegirl.org/爱丽丝·滋贝鲁库) |
| selka zuberg | 赛鲁卡·滋贝鲁库 | 赛鲁卡·滋贝鲁库（セルカ·ツーベルク）是由川原砾所创作的小说《`Sword Art Online`》及其衍生作品的登场角色。 | [萌娘百科](https://zh.moegirl.org/赛鲁卡·滋贝鲁库) |
| haruhiro | 哈尔希洛 |  |  |
| yume | 梦儿 |  |  |
| shihoru | 席赫露 |  |  |
| ranta | 蓝德 |  |  |
| moguzo | 莫古索 |  |  |
| merry | 梅莉 |  |  |
| tamamo cat | 玉藻猫 |  |  |
| kiritan tohoku | 东北切蒲英 |  |  |
| rikka takarada | 宝多六花 |  |  |
| anastasia nikolaevna romanova | 阿纳斯塔西娅·尼古拉耶芙娜·罗曼诺娃 |  |  |
| miko iino | 伊井野弥子 |  |  |
| yuu ishigami | 石上优 |  |  |
| sasaki saku | 笹木咲 | 高中二年生，非常喜欢游戏和水族馆的悠悠性格的关西人。喜欢的生物是伞章鱼（扁面蛸）还有也喜欢熊猫（黑白生物）。虚拟大阪出身十六岁人。直播风格大胆，但只要遇见陌生人就会丧失语言能力。在第一次动画的自我介绍非常突然的模仿了一种水生动物箱鲀随后光速谢罪。奠定了熊猫人的路线必定不平凡。对任系游戏有着超常的热爱，擅长游戏《喷射战士2》，直播类型主要是游戏实况为主。<br>![SasakiSaku](https://img.moegirl.org/common/thumb/4/47/SasakiSaku.png/112px-SasakiSaku.png) | [萌娘百科](https://zh.moegirl.org/zh-hans/笹木咲) [日文维基](https://ja.wikipedia.org/wiki/笹木咲) |
| arulumaya | 阿露露梅娅 | ![终突](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/b/ba/Zoom_3040019000_03.png/288px-Zoom_3040019000_03.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040019000) |
| cain | 该隐 | ![突破](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/9/96/Zoom_3040171000_02.png/288px-Zoom_3040171000_02.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040171000) |
| mahira | 玛琪拉 | ![终突](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/c/c2/Zoom_3040107000_03.png/288px-Zoom_3040107000_03.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040107000) |
| melissabelle | 梅丽莎贝尔 | ![突破](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/5/5c/Zoom_3040102000_02.png/288px-Zoom_3040102000_02.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040102000) |
| pholia | 芙莉亚 | ![额外](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/4/45/Zoom_3040181000_81.png/288px-Zoom_3040181000_81.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040181000) |
| sandalphon | 圣德芬 | ![终突](https://huiji-thumb.huijistatic.com/gbf/uploads/thumb/a/ab/Zoom_3040153000_03.png/288px-Zoom_3040153000_03.png) | [碧蓝幻想中文维基](https://gbf.huijiwiki.com/wiki/Char/3040153000) |
| akari tsujino | 辻野朱里 | ![R 辻野あかり+](https://img.moegirl.org/common/thumb/a/a0/R_辻野あかり%2B.jpg/192px-R_辻野あかり%2B.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/辻野朱里) [pixiv百科](https://dic.pixiv.net/a/辻野あかり) [niconico大百科](https://dic.nicovideo.jp/a/辻野あかり) |
| aru honshou | 本庄阿鲁 |  |  |
| junko konno | 绀野纯子 |  |  |
| saki nikaidou | 二阶堂咲 |  |  |
| yuugiri | 夕雾 |  |  |
| lily hoshikawa | 星川莉莉 |  |  |
| koutarou tatsumi | 巽幸太郎 |  |  |
| sakura minamoto | 源樱 |  |  |
| tae yamada | 山田多惠 |  |  |
| ayano sugiura | 杉浦绫乃 | 清纯内向的学生会副会长，留有紫红色长发并扎成长马尾。岁纳京子、船见结衣、池田千岁的同班同学。在谁眼里都是个开朗、可爱的女孩，但实际上有点怕生。<br>![](https://commons.moegirl.org/thumb.php?f=29002156.jpg&width=147) | [萌娘百科](https://zh.moegirl.org/zh-hans/杉浦绫乃) |
| kyouko toshinou | 岁纳京子 | 京子是赤座灯里和船见结衣的朋友，在作品开始时为十四岁，为七森中学二年级的学生，与结衣同年，比灯里大一岁。拥有黄色长发刘海及眉，头绑深红色蝴蝶结，蓝色瞳孔，外观近似萝莉。<br>![](https://img.moegirl.org/common/thumb/6/6a/Toshinou_Kyouko_Doujin.jpg/168px-Toshinou_Kyouko_Doujin.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/岁纳京子) |
| reisalin stout | 莱莎琳·斯托特 |  |  |
| kudou chitose | 久远千岁 | 久远千岁（日语：久遠千歳）是一名于2019年1月10日在YouTube开始活动的`VTuber`，业界团体彩虹社的成员。于2019年8月31日引退。<br>![久远千岁](https://img.moegirl.org/common/thumb/e/e8/久远千岁.jpg/166px-久远千岁.jpg) | [Twitter](https://twitter.com/kudou_chitose) [YouTube](https://www.youtube.com/channel/UCP2o-o6u4uX3uq1hXspl0rg) [萌娘百科](https://zh.moegirl.org/zh-hans/久远千岁) |
| higuchi kaede | 樋口枫 | 樋口楓（Higuchi Kaede）是隶属于彩虹社的`VTuber`，高中二年生。粉丝群体名为枫组，命名来源似乎是模仿宝塚歌剧团的“〇〇组”。<br>![樋口枫](https://img.moegirl.org/common/thumb/5/57/1480764.c24aa8.jpg/133px-1480764.c24aa8.jpg) | [Twitter](https://twitter.com/Higuchikaede) [YouTube](https://www.youtube.com/channel/UCsg-YqdqQ-KFF0LNk23BY4A) [萌娘百科](https://zh.moegirl.org/zh/樋口枫) [日文维基](https://ja.wikipedia.org/wiki/樋口楓) |
